iter	Passed	Remaining
475	639	703
476	639	701
477	640	699
478	641	698
479	643	696
480	644	694
481	644	693
482	645	691
483	646	689
484	647	687
485	648	685
486	649	684
487	650	682
488	651	680
489	652	678
490	653	677
491	653	675
492	654	673
493	655	671
494	656	670
495	658	668
496	659	667
497	659	665
498	660	663
499	661	661
500	662	659
501	663	658
502	664	656
503	665	654
504	666	652
505	667	651
506	667	649
507	668	647
508	669	645
509	670	644
510	671	642
511	672	641
512	673	639
513	674	638
514	675	636
515	676	634
516	677	632
517	678	631
518	679	629
519	680	627
520	681	626
521	681	624
522	682	622
523	683	621
524	684	619
525	685	617
526	686	616
527	688	615
528	689	613
529	690	611
530	690	610
531	691	608
532	692	607
533	693	605
534	694	603
535	695	602
536	696	600
537	697	598
538	698	597
539	699	595
540	700	593
541	701	592
542	702	591
543	703	589
544	704	588
545	705	586
546	706	584
547	707	583
548	708	581
549	709	580
550	709	578
551	710	576
552	711	575
553	712	573
554	713	572
555	714	570
556	715	568
557	716	567
558	717	566
559	718	564
560	719	562
561	720	561
562	721	559
563	722	558
564	722	556
565	723	555
566	724	553
567	725	551
568	726	550
569	727	548
570	728	547
571	729	545
572	730	544
573	731	542
574	732	541
575	733	539
576	734	538
577	735	536
578	736	535
579	736	533
580	737	532
581	738	530
582	739	529
583	740	527
584	742	526
585	743	524
586	744	523
587	745	522
588	746	520
589	747	519
590	748	517
591	748	516
592	749	514
593	750	513
594	751	511
595	752	510
596	753	508
597	754	507
598	755	505
599	756	504
600	757	503
601	758	501
602	760	500
603	761	499
604	762	497
605	763	496
606	764	495
607	765	493
608	766	492
609	767	490
610	768	489
611	769	488
612	770	486
613	771	485
614	772	483
615	773	482
616	774	480
617	775	479
618	777	478
619	778	476
620	779	475
621	779	473
622	780	472
623	781	471
624	782	469
625	783	468
626	784	466
627	785	465
628	786	463
629	787	462
630	788	460
631	789	459
632	790	458
633	792	457
634	793	455
635	794	454
636	795	453
637	795	451
638	796	450
639	797	448
640	798	447
641	799	445
642	800	444
643	801	442
644	802	441
645	803	440
646	803	438
647	804	437
648	806	435
649	807	434
650	808	433
651	808	431
652	809	430
653	810	428
654	811	427
655	812	426
656	813	424
657	814	423
658	815	422
659	816	420
660	817	419
661	818	417
662	819	416
663	820	415
664	821	413
665	822	412
666	823	411
667	824	409
668	825	408
669	825	406
670	826	405
671	827	404
672	828	402
673	829	401
674	830	399
675	831	398
676	832	397
677	833	395
678	834	394
679	835	392
680	836	391
681	837	390
682	838	389
683	839	387
684	840	386
685	841	385
686	842	383
687	843	382
688	844	381
689	845	379
690	846	378
691	847	377
692	848	375
693	849	374
694	850	373
695	851	372
696	852	370
697	853	369
698	854	367
699	855	366
700	856	365
701	857	363
702	857	362
703	858	361
704	859	359
705	860	358
706	861	357
707	862	355
708	863	354
709	864	353
710	865	351
711	866	350
712	867	349
713	868	347
714	869	346
715	870	345
716	871	343
717	872	342
718	872	341
719	873	339
720	874	338
721	875	337
722	876	335
723	877	334
724	878	333
725	879	332
726	880	330
727	881	329
728	882	328
729	883	326
730	884	325
731	885	324
732	886	322
733	887	321
734	888	320
735	888	318
736	889	317
737	890	316
738	891	314
739	892	313
740	893	312
741	894	311
742	895	309
743	896	308
744	897	307
745	898	305
746	899	304
747	900	303
748	901	301
749	901	300
750	902	299
751	903	298
752	904	296
753	905	295
754	906	294
755	907	292
756	908	291
757	910	290
758	911	289
759	912	288
760	913	286
761	914	285
762	915	284
763	916	282
764	916	281
765	917	280
766	918	279
767	919	277
768	920	276
769	921	275
770	922	274
771	923	272
772	924	271
773	925	270
774	926	269
775	927	267
776	928	266
777	929	265
778	930	263
779	931	262
780	932	261
781	932	260
782	933	258
783	934	257
784	936	256
785	936	255
786	937	253
787	938	252
788	940	251
789	940	250
790	941	248
791	942	247
792	943	246
793	944	245
794	945	243
795	946	242
796	947	241
797	948	240
798	949	238
799	950	237
800	951	236
801	951	235
802	952	233
803	954	232
804	955	231
805	955	230
806	956	228
807	957	227
808	958	226
809	959	225
810	960	223
811	961	222
812	962	221
813	963	220
814	964	218
815	964	217
816	965	216
817	966	215
818	967	213
819	968	212
820	969	211
821	970	210
822	971	208
823	972	207
824	973	206
825	974	205
826	975	204
827	976	202
828	977	201
829	978	200
830	979	199
831	979	197
832	980	196
833	981	195
834	982	194
835	983	192
836	984	191
837	985	190
838	986	189
839	987	188
840	988	186
841	989	185
842	990	184
843	991	183
844	992	181
845	992	180
846	993	179
847	994	178
848	995	177
849	996	175
850	997	174
851	998	173
852	999	172
853	1000	171
854	1001	169
855	1002	168
856	1003	167
857	1004	166
858	1005	165
859	1006	163
860	1007	162
861	1008	161
862	1008	160
863	1009	158
864	1010	157
865	1011	156
866	1012	155
867	1013	154
868	1014	152
869	1015	151
870	1016	150
871	1017	149
872	1018	148
873	1019	146
874	1020	145
875	1021	144
876	1022	143
877	1022	142
878	1023	140
879	1024	139
880	1025	138
881	1026	137
882	1027	136
883	1028	134
884	1029	133
885	1030	132
886	1031	131
887	1032	130
888	1033	129
889	1034	127
890	1035	126
891	1036	125
892	1036	124
893	1037	123
894	1038	121
895	1039	120
896	1040	119
897	1041	118
898	1042	117
899	1043	115
900	1044	114
901	1045	113
902	1046	112
903	1047	111
904	1048	110
905	1048	108
906	1049	107
907	1050	106
908	1051	105
909	1052	104
910	1053	102
911	1054	101
912	1055	100
913	1056	99
914	1057	98
915	1058	97
916	1059	95
917	1060	94
918	1061	93
919	1062	92
920	1063	91
921	1064	90
922	1064	88
923	1065	87
924	1066	86
925	1067	85
926	1068	84
927	1069	82
928	1070	81
929	1071	80
930	1072	79
931	1073	78
932	1074	77
933	1075	75
934	1076	74
935	1077	73
936	1078	72
937	1078	71
938	1079	70
939	1080	68
940	1081	67
941	1082	66
942	1083	65
943	1084	64
944	1085	63
945	1086	62
946	1087	60
947	1088	59
948	1089	58
949	1090	57
950	1091	56
951	1092	55
952	1092	53
953	1093	52
954	1094	51
955	1095	50
956	1096	49
957	1097	48
958	1098	46
959	1099	45
960	1100	44
961	1101	43
962	1102	42
963	1103	41
964	1104	40
965	1105	38
966	1105	37
967	1106	36
968	1107	35
969	1108	34
970	1109	33
971	1110	31
972	1111	30
973	1112	29
974	1113	28
975	1114	27
976	1114	26
977	1116	25
978	1117	23
979	1118	22
980	1120	21
981	1121	20
982	1122	19
983	1123	18
984	1124	17
985	1124	15
986	1125	14
987	1126	13
988	1127	12
989	1128	11
990	1129	10
991	1130	9
992	1131	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1137	1
999	1137	0
